FILENAME,URL,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label
76289.txt,https://www.teaconnect.org,25,www.teaconnect.org,18,0,org,100.0,1.0,0.0799628,0.074865496,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,1957,1546,1,teaconnect,100.0,100.0,1,0,1,0,0,1,0,5,0,1,1,1,1,1,1,0,1,22,9,20,78,0,21,1
854467.txt,https://www.seidellaw.com,24,www.seidellaw.com,17,0,com,100.0,1.0,0.5229071,0.061953551,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,1165,9258,1,seidellaw,100.0,100.0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,45,2,4,109,0,8,1
7969353.txt,https://e8xds1kk.dreamwp.com/skat/,33,e8xds1kk.dreamwp.com,20,0,com,40.09846154,0.5625,0.5229071,0.046360554,3,1,0,0,0.0,20,0.606,2,0.061,0,0,0,3,0.091,1,82,989,1,e8xds1kkdreamwpskat,0.0,0.0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,6,0,0,7,0
mw154253.txt,http://www.mamj.ru,18,www.mamj.ru,11,0,ru,85.71428571,1.0,0.0180132,0.05076808,2,1,0,0,0.0,6,0.333,0,0.0,0,0,0,1,0.056,0,7,65,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mw12423.txt,http://www.hostedforfree.com,27,www.hostedforfree.com,21,0,com,71.60493827,1.0,0.5229071,0.064465109,3,1,0,0,0.0,15,0.556,0,0.0,0,0,0,1,0.037,0,15,155,1,hostedforfree,100.0,100.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77631.txt,https://www.bellelily.com,24,www.bellelily.com,17,0,com,100.0,1.0,0.5229071,0.05685876,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,5098,4771,1,bellelily,100.0,100.0,1,0,1,0,0,1,0,8,0,1,1,1,1,0,1,0,1,221,9,47,487,0,265,1
mw34053.txt,http://www.droid.net23.net,25,www.droid.net23.net,19,0,net,61.0,0.727272727,0.0384199,0.053383368,3,2,0,0,0.0,10,0.4,2,0.08,0,0,0,2,0.08,0,9,50,1,droidt23,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mw97884.txt,http://www.filmix.space,23,www.filmix.space,16,0,space,66.02564103,1.0,0.0003175,0.052185508,5,1,0,0,0.0,11,0.478,0,0.0,0,0,0,1,0.043,0,9,70,1,filmix,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
94357.txt,https://www.lestercontracting.ca,31,www.lestercontracting.ca,24,0,ca,100.0,1.0,0.0101825,0.06533358,2,1,0,0,0.0,18,0.581,0,0.0,0,0,0,1,0.032,1,394,5176,1,lesterontrating,0.0,0.0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,24,9,18,49,0,24,1
145741.txt,https://www.desktopdungeons.net,30,www.desktopdungeons.net,23,0,net,100.0,1.0,0.0384199,0.057279877,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,1,284,1820,1,desktopdungeons,100.0,100.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,46,8,10,34,0,61,1
mw18990.txt,http://www.patjam.com,20,www.patjam.com,14,0,com,88.39506173,1.0,0.5229071,0.060708379,3,1,0,0,0.0,8,0.4,0,0.0,0,0,0,1,0.05,0,2,29,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513232.txt,https://www.chocolatleroux.com,29,www.chocolatleroux.com,22,0,com,100.0,1.0,0.5229071,0.066334946,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,1639,7845,1,cholatleroux,0.0,0.0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,63,29,29,94,1,93,1
84533.txt,https://www.sigmaxi.org,22,www.sigmaxi.org,15,0,org,100.0,1.0,0.0799628,0.057979927,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,14580,3075,1,sigmaxi,100.0,100.0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,192,2,28,325,0,64,1
54207.txt,https://www.romir.ru,19,www.romir.ru,12,0,ru,100.0,1.0,0.0180132,0.068948108,2,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,1759,306,1,omi,60.0,60.0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,67,6,15,96,0,12,1
mw6081.txt,http://www.hferry.co.kr,22,www.hferry.co.kr,16,0,kr,68.58974359,0.777777778,0.0022733,0.050788231,2,2,0,0,0.0,9,0.409,0,0.0,0,0,0,2,0.091,0,9,75,1,hferryco,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
617610.txt,https://www.scarboroughfarecatering.com,38,www.scarboroughfarecatering.com,31,0,com,100.0,1.0,0.5229071,0.063158464,3,1,0,0,0.0,25,0.658,0,0.0,0,0,0,1,0.026,1,848,8047,1,scarboroughfarecatering,100.0,100.0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,16,15,28,45,0,53,1
mw213577.txt,http://www.artzvuk.by,20,www.artzvuk.by,14,0,by,69.45454545,1.0,0.0005302,0.035645116,2,1,0,0,0.0,8,0.4,0,0.0,0,0,0,1,0.05,0,9,50,1,artzvuk,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
635698.txt,https://www.semerarophotography.com,34,www.semerarophotography.com,27,0,com,100.0,1.0,0.5229071,0.062981004,3,1,0,0,0.0,21,0.618,0,0.0,0,0,0,1,0.029,1,454,939,1,semerarophotography,100.0,100.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,21,12,5,39,0,4,1
704276.txt,https://www.birac.nic.in,23,www.birac.nic.in,16,0,in,100.0,0.666666667,0.0050842,0.062163699,2,2,0,0,0.0,9,0.391,0,0.0,0,0,0,2,0.087,1,2640,311,1,bracnc,0.0,0.0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,79,31,35,0,24,9,1
119727.txt,https://www.littlescandinavian.com,33,www.littlescandinavian.com,26,0,com,100.0,1.0,0.5229071,0.061861748,3,1,0,0,0.0,20,0.606,0,0.0,0,0,0,1,0.03,1,929,4536,1,littlescandinavian,100.0,100.0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,16,13,21,83,0,101,1
237628.txt,https://www.qoneqt.com,21,www.qoneqt.com,14,0,com,100.0,1.0,0.5229071,0.060347075,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,7040,7977,1,qoneqt,100.0,100.0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,31,69,63,0,8,54,1
mw26.txt,http://www.framboisemangue-traiteur.com,38,www.framboisemangue-traiteur.com,32,0,com,47.45519713,0.666666667,0.5229071,0.063196822,3,1,0,0,0.0,25,0.658,0,0.0,0,0,0,2,0.053,0,122,221,1,framboisemangue-traiteur,100.0,100.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mw5jan1303.txt,http://www.bafybeihli6th4k354j7eyapqehli54nh4cfp4eav2p2d24nlmjktr5hxv4.ipfs.dweb.link,84,www.bafybeihli6th4k354j7eyapqehli54nh4cfp4eav2p2d24nlmjktr5hxv4.ipfs.dweb.link,78,0,link,11.02410519,0.202898551,0.0003306,0.031911306,4,3,0,0,0.0,54,0.643,16,0.19,0,0,0,3,0.036,0,9,96,1,bafybeihli6th4k354j7eyapqehli54nh4cfp4eav2p2d24nlmjktr5hxv4ipfsdweb,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162800.txt,https://www.znetlive.com,23,www.znetlive.com,16,0,com,100.0,1.0,0.5229071,0.058891431,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,3419,1823,1,znetlive,100.0,100.0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,43,6,28,114,6,121,1
893206.txt,https://www.gundelik-baku.com,28,www.gundelik-baku.com,21,0,com,100.0,0.692307692,0.5229071,0.04906312,3,1,0,0,0.0,14,0.5,0,0.0,0,0,0,2,0.071,1,1861,1970,1,gundelik-baku,100.0,100.0,1,0,1,0,0,1,0,2,0,0,1,1,0,1,1,0,0,92,10,18,31,104,177,1
8038488.txt,https://facebook-appeal-request-e2427.web.app/,46,facebook-appeal-request-e2427.web.app,37,0,app,33.55503441,0.393939394,0.001502,0.049467424,3,1,0,0,0.0,28,0.609,4,0.087,0,0,0,6,0.13,1,13,87,1,facebook-eal-request-e2427web,0.0,0.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
588586.txt,https://www.wildjoystudios.com,29,www.wildjoystudios.com,22,0,com,100.0,1.0,0.5229071,0.052374206,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,651,9381,1,wildjoystudios,100.0,100.0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,34,28,29,64,0,73,1
mw98008.txt,http://www.bigrussianfloppa.duckdns.org,38,www.bigrussianfloppa.duckdns.org,32,0,org,45.39936664,0.708333333,0.0799628,0.050879762,3,2,0,0,0.0,25,0.658,0,0.0,0,0,0,2,0.053,0,122,294,1,bigrussianfloppaduckdns,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,4,0
mw72834.txt,http://www.asserghorab.com,25,www.asserghorab.com,19,0,com,66.77777778,1.0,0.5229071,0.064653928,3,1,0,0,0.0,13,0.52,0,0.0,0,0,0,1,0.04,0,2,2826,1,asserghorab,100.0,100.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
38618.txt,https://www.maths.ed.ac.uk,25,www.maths.ed.ac.uk,18,0,uk,100.0,0.545454545,0.028555,0.058364783,2,3,0,0,0.0,10,0.4,0,0.0,0,0,0,3,0.12,1,511,3117,1,mathsedac,0.0,0.0,1,0,1,0,0,1,0,4,0,1,0,0,0,0,0,0,1,28,19,10,37,0,34,1
405632.txt,https://www.outdoornews.com,26,www.outdoornews.com,19,0,com,100.0,1.0,0.5229071,0.067319174,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,2459,38879,1,outdoornews,100.0,100.0,0,1,1,0,0,0,1,8,1,1,1,1,0,0,1,0,1,45,35,53,175,2,186,1
8118088.txt,https://allspurlabs.com/wp-content/plugins/us/k/verification/,61,allspurlabs.com,15,0,com,25.45355588,1.0,0.5229071,0.054484471,3,0,0,0,0.0,45,0.738,0,0.0,0,0,0,8,0.131,1,63,355,1,allspurlabswp-contentpluginsuskverification,0.0,100.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,2,0
8064721.txt,https://confirmacionesimportantes--servisgalicia.repl.co/,57,confirmacionesimportantes--servisgalicia.repl.co,48,0,co,31.3261763,0.6,0.0059772,0.06435214,2,1,0,0,0.0,44,0.772,0,0.0,0,0,0,5,0.088,1,198,869,1,nfirmacionesimportantes--servisgaliciarepl,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
380491.txt,https://www.brittrust.co.uk,26,www.brittrust.co.uk,19,0,uk,100.0,0.833333333,0.028555,0.055833906,2,2,0,0,0.0,12,0.462,0,0.0,0,0,0,2,0.077,1,2102,1023,1,brittrstco,0.0,0.0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,131,0,3,4,0,125,1
mw206483.txt,http://www.falconna.com,22,www.falconna.com,16,0,com,76.6025641,1.0,0.5229071,0.068623467,3,1,0,0,0.0,10,0.455,0,0.0,0,0,0,1,0.045,0,2,477,1,falnna,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8118101.txt,https://sendingfreemail.com/beon/client/index_pc.php,52,sendingfreemail.com,19,0,com,30.27318641,1.0,0.5229071,0.056242825,3,0,0,0,0.0,38,0.731,0,0.0,0,0,0,6,0.115,1,2,60,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mw96641.txt,http://www.s1p.no-ip.bz,23,www.s1p.no-ip.bz,16,0,bz,62.55283178,0.444444444,9.67e-05,0.039860659,2,2,0,0,0.0,8,0.348,1,0.043,0,0,0,3,0.13,0,2,31,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423310.txt,https://www.moderneid.com,24,www.moderneid.com,17,0,com,100.0,1.0,0.5229071,0.069240731,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,2050,2675,1,moderneid,100.0,100.0,1,0,1,0,0,1,0,19,0,1,0,1,1,1,1,0,1,48,58,23,125,0,19,1
234098.txt,https://www.bitfreegames.com,27,www.bitfreegames.com,20,0,com,100.0,1.0,0.5229071,0.063495466,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,300,255,1,bitfreegames,100.0,100.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,14,3,10,5,0,10,1
7986879.txt,https://od.lhht.workers.dev/,27,od.lhht.workers.dev,19,0,dev,42.21606648,0.533333333,0.0009613,0.050459877,3,2,0,0,0.0,16,0.593,0,0.0,0,0,0,3,0.111,1,2,36,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
727230.txt,https://www.xqual.com,20,www.xqual.com,13,0,com,100.0,1.0,0.5229071,0.048092567,3,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,1,2439,312,1,xqual,100.0,100.0,1,1,1,0,0,1,0,3,0,1,1,0,0,0,0,0,1,63,13,21,16,10,12,1
mw180812.txt,http://www.sam-sdelai.blogspot.com,33,www.sam-sdelai.blogspot.com,27,0,com,61.43055556,0.473684211,0.5229071,0.061651416,3,2,0,0,0.0,19,0.576,0,0.0,0,0,0,3,0.091,0,11,74,1,sam-sdelaiblogspot,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
870889.txt,https://www.myniu.com,20,www.myniu.com,13,0,com,100.0,1.0,0.5229071,0.057601845,3,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,1,523,553,1,myniu,100.0,100.0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,16,7,8,55,6,83,1
589126.txt,https://www.2findanddesign.com,29,www.2findanddesign.com,22,0,com,100.0,1.0,0.5229071,0.05229598,3,1,0,0,0.0,15,0.517,1,0.034,0,0,0,1,0.034,1,965,2679,1,2findanddesign,100.0,100.0,1,0,1,0,0,1,0,19,0,1,1,0,1,1,1,0,1,16,2,22,44,0,24,1
mw64743.txt,http://www.gtrtooloo.com,23,www.gtrtooloo.com,17,0,com,67.94871795,1.0,0.5229071,0.075280958,3,1,0,0,0.0,11,0.478,0,0.0,0,0,0,1,0.043,0,2,32,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402026.txt,https://www.jackmail.com,23,www.jackmail.com,16,0,com,100.0,1.0,0.5229071,0.060060457,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,967,1927,1,jackmail,100.0,100.0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,48,7,15,42,1,55,1
mw169111.txt,http://www.saunaundbad.de,24,www.saunaundbad.de,18,0,de,70.34013605,1.0,0.0326503,0.049358013,2,1,0,0,0.0,12,0.5,0,0.0,0,0,0,1,0.042,0,15,155,1,saunaunba,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612506.txt,https://www.billysworld.be,25,www.billysworld.be,18,0,be,100.0,1.0,0.0033189,0.042684167,2,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,436,1746,1,illysworld,90.90909091,90.90909091,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,21,6,15,38,0,44,1
614079.txt,https://www.jscottcouture.com,28,www.jscottcouture.com,21,0,com,100.0,1.0,0.5229071,0.064497935,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,16844,15221,1,jsttuture,0.0,0.0,1,0,1,1,0,1,0,8,0,1,1,0,1,1,1,0,1,3,122,84,19,0,27,1
7968346.txt,http://pgu.mx/to-sa/index.html,29,pgu.mx,6,0,mx,38.78386894,1.0,0.0017218,0.048816037,2,0,0,0,0.0,17,0.586,0,0.0,0,0,0,5,0.172,0,246,213,1,pguto-saindexhtm,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,7,0,0,2,0
472485.txt,https://www.arc.unsw.edu.au,26,www.arc.unsw.edu.au,19,0,au,100.0,0.416666667,0.0100856,0.055041639,2,3,0,0,0.0,11,0.423,0,0.0,0,0,0,3,0.115,1,589,14349,1,rcunswedu,0.0,0.0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,47,1,4,91,5,44,1
86832.txt,https://www.alura.com.br,23,www.alura.com.br,16,0,br,100.0,0.666666667,0.0094423,0.062179362,2,2,0,0,0.0,9,0.391,0,0.0,0,0,0,2,0.087,1,2109,16608,1,aluracom,0.0,0.0,0,0,0,0,0,0,0,8,0,1,1,1,0,1,1,0,0,31,14,16,287,0,53,1
178361.txt,https://www.pretadiner.com,25,www.pretadiner.com,18,0,com,100.0,1.0,0.5229071,0.065919515,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,610,8047,1,pretadiner,100.0,100.0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,10,16,29,42,1,35,1
440056.txt,https://www.worksafe.tas.gov.au,30,www.worksafe.tas.gov.au,23,0,au,100.0,0.5625,0.0100856,0.056536766,2,3,0,0,0.0,15,0.5,0,0.0,0,0,0,3,0.1,1,3113,492,1,worksfetsgov,0.0,0.0,0,0,1,1,0,1,1,2,0,1,1,1,0,0,1,0,1,3,2,12,53,1,495,1
95637.txt,https://www.uwstout.edu,22,www.uwstout.edu,15,0,edu,100.0,1.0,0.0115013,0.051379567,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,1517,36376,1,uwstout,100.0,100.0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,19,2,7,176,7,35,1
mw213184.txt,http://www.albertoforwardings.us,31,www.albertoforwardings.us,25,0,us,61.66666667,1.0,0.0045585,0.055618842,2,1,0,0,0.0,19,0.613,0,0.0,0,0,0,1,0.032,0,2,41,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8017835.txt,https://bafybeige5ixwbe26ihy47w3yjgvbmxg46lxfawahrkxavravyz2r6exwnq.ipfs.dweb.link/,82,bafybeige5ixwbe26ihy47w3yjgvbmxg46lxfawahrkxavravyz2r6exwnq.ipfs.dweb.link,74,0,link,9.676162649,0.289855072,0.0003306,0.031505378,4,2,0,0,0.0,61,0.744,10,0.122,0,0,0,3,0.037,1,9,91,1,bafybeige5ixwbe26ihy47w3yjgvbmxg46lxfawahrkxavravyz2r6exwnqipfsdweb,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65794.txt,https://www.mhrd.org,19,www.mhrd.org,12,0,org,100.0,1.0,0.0799628,0.057048857,3,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,7036,10527,1,mhrd,100.0,100.0,0,0,1,1,1,0,0,15,0,1,1,1,1,0,1,0,1,25,40,31,118,2,72,1
oph02333.txt,https://www.ndnmag.fr/en/e76b4e123175b80817b43c81de1263ca/execution.html?validation=e1s1,88,www.ndnmag.fr,13,0,fr,9.425027881,1.0,0.0141483,0.038429205,2,1,0,0,0.0,45,0.511,24,0.273,1,1,0,5,0.08,1,148,158,1,ndnmagene76b4e123175b80817b43c81de1263caexecutionhtml?validation=e1s1,0.0,0.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,4,9,0,0,1,0
393705.txt,https://www.tispol.org,21,www.tispol.org,14,0,org,100.0,1.0,0.0799628,0.063582192,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,288,443,1,tispol,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,9,6,1,10,1
681661.txt,https://www.lepetitlillois.com,29,www.lepetitlillois.com,22,0,com,100.0,1.0,0.5229071,0.063043869,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,2278,9212,1,lepetitlillois,100.0,100.0,1,1,1,0,0,1,0,16,0,1,1,1,0,0,0,0,1,66,11,51,78,2,101,1
8035579.txt,http://wviiiviiam.duckdns.org,28,wviiiviiam.duckdns.org,22,0,org,37.02329417,0.611111111,0.0799628,0.050051977,3,1,0,0,0.0,19,0.679,0,0.0,0,0,0,2,0.071,0,2,37,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178750.txt,https://www.elex-tech.com,24,www.elex-tech.com,17,0,com,100.0,0.555555556,0.5229071,0.064210344,3,1,0,0,0.0,10,0.417,0,0.0,0,0,0,2,0.083,1,408,269,1,elex-tech,100.0,100.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,15,5,3,6,0,3,1
146300.txt,https://www.rha.uk.net,21,www.rha.uk.net,14,0,net,100.0,0.666666667,0.0384199,0.051773684,3,2,0,0,0.0,7,0.333,0,0.0,0,0,0,2,0.095,1,2741,54636,1,rhauk,0.0,0.0,1,0,1,0,0,0,0,4,0,1,0,1,0,1,1,0,1,16,1,8,469,0,504,1
